Cota|Titlul|Autori| ISBN|Editura|Locul aparitiei|An aparitie|Observatii
H3|Aplicatii distribuite folosind tehnologia EJB|Dorutiu Doriana Lucia|||Cluj-Napoca|2004|Lucrare de licenta, Conducator stiintific Profesor Doctor Florian Mircea Boian
H4|Asociatia Caritas Mitropolitan Creco-Catolic, Blaj, Prezentare pe Web|Ardelean Mariana|||Blaj|2003|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H5|Sisteme de culegere si validare a datelor prin Web|Bora Radu-Vasile|||Cluj-Napoca|2003|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H6|Gestionarea memoriei|Muntean I. Camelia|||Cluj-Napoca|2003|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H7|Sistem de instruire Web, folosit in licee|Gyarmati Denes|||Cluj-Napoca|2004|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H8|Tehnici de data-mining in filtrarea postei electronice||||Cluj-Napoca|2004|Lucrare de licenta, Conducator stiintific Profesor Doctor Florian Mircea Boian
H9|Implementarea CORBA in Java. Gestiunea on-line a Proiectelor de Laborator|Marcu Corina||||2004|Lucrare de dizertatie, Conducator stiintific Profesor Doctor Florian Mircea Boian
H10|Implementarea EJB in J2EE|Racolta Adina Mihaela|||Cluj-Napoca|2003|Lucrare de dizertatie, Conducator stiintific Profesor Doctor Florian Mircea Boian
H11|Internetul si sisteme de consultare a notei|Madarasz Kinga|||Cluj-Napoca|2003|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H12|Utilizarea Java Script la achizitii de date|Lupu Tudor Victor|||Cluj-Napoca|2004|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H13|NCSA Telnet||||Urbana-Champaign|1991|Univesity of Illinois at Urbana-Champaign
H14|Baze si banci de date||||||Notite
H15|Sisteme de operare pentru calculatoare numerice|Boian Mircea Florian|||||Notite
H16|Structuri si baze de date|Boian Mircea Florian|||||Notite
H17|Sabloane de proiectare pentru Enterprise Java Beans|Tomoioaga Andreea|||Cluj-Napoca|2004|Lucrare de dizertatie, Conducator stiintific Profesor Doctor Florian Mircea Boian
H18|Tehnologii pentru aplicatiile Web: Jakarta Struts|Moldovan Sorin Lucian|||Cluj-Napoca|2004|Lucrare de dizertatie, Conducator stiintific Profesor Doctor Florian Mircea Boian
H19|Aplicatii client-server in Java: Tehnologia RMI|Nicolau Diana-Elena|||Cluj-Napoca|2003|Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H20|Interactiuni Web prin tehologia servlet|Puskas Laszlo|||Cluj-Napoca||Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H21|Utilizarea XHTML pentru paginile Web actuale|Curean Dorina|||Cluj-Napoca||Lucrare de diploma, Conducator stiintific Profesor Doctor Florian Mircea Boian
H22|Aplicatii client server si comunicatii Peer-to-Peer pe platforma Java|Dragan Laura Catalina|||Cluj-Napoca|2004|Lucrare de licenta, Conducator stiintific Profesor Doctor Florian Mircea Boian
H23|Alocarea dinamica de memorie|Lupsor Leontin|||Sighisoara|2004|Lucrare metodico-stiintifica pentru obtinerea gradului didactic I
H24|Introduction to System Software|Rus Teodor|||Iowa|1988|Curs
H25|Microsoft Computer Documentation||||New-York|1984|Reference Manual
H26|||||||Descriere instructiuni
H27|||||Florida|1984|Descriere instructiuni
H28|Advances MS-DOS|Duncan Ray|0-914845-77-2|Microsoft Press|USA|1986|Carte
H29|Turbo Pascal 6.0||||USA|1983|Programme Guide
H30|Microsoft Works|||Microsoft Corporation|Washington|1989|Reference Manual
H31|Limbajul C Ansi|Antal Tiberiu Alexandru|973-656-065-1|Risoprint|Cluj-Napoca|2001|Carte

I1|Limbajul C Culegere de probleme|Boian Florian Mircea, Vancea Alexandru, Iurian Simona|||Cluj Napoca|1992|
I2|Limbajul C Culegere de probleme|Boian Florian Mircea, Vancea Alexandru, Iurian Simona|||Cluj Napoca|1992|
I3|Limbajul C Culegere de probleme|Boian Florian Mircea, Vancea Alexandru, Iurian Simona|||Cluj Napoca|1992|
I4|Limbajul C Culegere de probleme|Boian Florian Mircea, Vancea Alexandru, Iurian Simona|||Cluj Napoca|1992|
I5|Algebra si programare liniara|Covaci Rodica|||Cluj Napoca|1986|
I6|Probleme moderne de teoria functiilor|Cazacu Cabiria Andreian, Constantinescu C., Jurchescu M.||Editura Academiei Republicii Populare Romane|Bucuresti|1965|
I7|Initiere in limbajul Ada|Munteanu Emil, Mihut Ioan, Ivanov Adrian Virgil||Editura Tehnica|Bucuresti|1986|
I8|Lisp vol.2| Giumale Cristian, Preotescu Dan, Serbanati Luca Dan, Tufis Dan, Tecuci Gheorghe, Cristea Dan||Editura Tehnica|Bucuresti|1987|
I9|Lisp vol.1| Giumale Cristian, Preotescu Dan, Serbanati Luca Dan, Tufis Dan, Tecuci Gheorghe, Cristea Dan||Editura Tehnica|Bucuresti|1987|
I10|Curs de algebra si programare liniara vol.1|Schechter M|||Cluj Napoca|1983|
I11|Elemente de analiza matematica manual pentru clasa 11|Dinculeanu Nicolae, Radu Eugen||Editura Didactica si Pedagogica Bucuresti||1979|
I12|Conducerea activitatii economice vol.5|Maynard H.B.||Editura Tehnica Bucuresti|Bucuresti|1974|partea 2
I13|An automatically generated and probably correct compiler for the subset of Ada|Palsberg Jenis|ISSN 01058517||USA|1992|
I14|Elemente de topologie si varietati diferentiale|Teleman C.||Editura Didactica si Pedagogica Bucuresti|Bucuresti|1964|
I15|Algebra omologica|Bucur Ioan|| Editura Didactica si Pedagogica Bucuresti|Bucuresti|1965|
I16|Elemente de teoria spatiile Banach|Popa Nicolae, Niculescu Constantin||Editura Academiei Republicii Socialiste Romania|Bucuresti|1981|
I17|Culegere de probleme de analiza functionala|Popa Eugen|| Editura Didactica si Pedagogica Bucuresti|Bucuresti|1981|
I18|Elemente de analiza probabilistica si aplicatii|Gheorghe Constantin, Istratescu Ioan|| Editura Academiei Republicii Socialiste Romania|Bucuresti|1981|
I19|Elemente de teoria multimilor si analiza matematica|Reghis Mircea||Editura Facla|Timisoara|1981|
I20|Conducere informatica, decizie, creativitate||||Cluj Napoca|1978|
I21|Metode matematice in probabilistica dezvoltarilor|Marcus Solomon, Malita Mircea||Editura Academiei Republicii Socialiste Romania|Bucuresti|1982|
I22|Lectii de algebra si programare liniara|Both Nicolae|||Cluj Napoca|1982|
I23|Limba engleza pentru informatica|Ivas Angela, Berce Sanda|||Cluj Napoca|1981|
I24|Use of action semantics|Moses Peter, Watt David|ISSN 0105-8517|Aarhus University|USA|1986|
I25|Program al 13-lea simpozion informatica si conducere||||Cluj Napoca|1989|
I26|Algebra manual pentru clasa 11|Ion Ion, Ghiota A., Nedita Nicolae|| Editura Didactica si Pedagogica Bucuresti|Bucuresti|1980|
I27|Analiza numerica|Coman Gheorghe|||Cluj Napoca|1984|
I28|Fundamentele limbajelor de programare vol.1|Vancea Alexandru, Parv Bazil|||Cluj Napoca|1992|
I29|Fundamentele limbajelor de programare vol.1|Vancea Alexandru, Parv Bazil|||Cluj Napoca|1992|
I30|Algebra|Ion Ion, Nicolae Radu|| Editura Didactica si Pedagogica Bucuresti|Bucuresti|1981|
I31|Programarea calculatoarelor studii si aplicatii|Balla E., Balla I., Ciocarlie H., Ciocarlie R., Cretu V., Eles P., Furtunescu A., Gesner A., Holban S., Hluscu C., Jian ., Jurca I., Petriu D., Petru M., Popescu M.||Editura Facla|Timisoara|1981|
I32|Probleme de ecuatii diferentiale si cu derivate partiale|Rus Ioan, Micula Gheorghe, Paraschiva Pavel, Ionescu Bucur|| Editura Didactica si Pedagogica Bucuresti|Bucuresti|1982|
I33|Teoria probabilitatilor si statistica matematica|Cond. Dr. Micu, Mihoc Gheorghe|| Editura Didactica si Pedagogica Bucuresti|Bucuresti|1980|
I34|Ecuatii diferentiale|Rus Ioan, Paraschiva Pavel|| Editura Didactica si Pedagogica Bucuresti|Bucuresti|1982|partea 2
I35|Gazeta matematica nr 7||ISSN 0016-5441|||1983|
I36|Gazeta matematica nr 1||ISSN 0016-5441|||1987|
I37|Gazeta matematica nr 4||ISSN 0016-5441|||1980|
I38|Gazeta matematica nr 11||ISSN 0016-5441|||1980|
I39|Gazeta matematica nr 4||ISSN 0016-5441|||1986|
I40|Gazeta matematica nr 3||ISSN 0016-5441|||1986|
I41|Gazeta matematica nr 12||ISSN 0016-5441|||1984|
I42|Gazeta matematica nr 5||ISSN 0016-5441|||1982|
I43|Gazeta matematica nr 6||ISSN 0016-5441|||1982|
I44|Gazeta matematica nr 7||ISSN 0016-5441|||1982|
I45|Gazeta matematica nr 12||ISSN 0016-5441|||1983|
I46|Gazeta matematica nr 6||ISSN 0016-5441|||1979|
I47|Gazeta matematica nr 3||ISSN 0016-5441|||1979|
I48|Gazeta matematica nr 7||ISSN 0016-5441|||1975|
I49|Gazeta matematica nr 12||ISSN 0016-5441|||1975|
I50|Gazeta matematica nr 10||ISSN 0016-5441|||1975|
I51|Gazeta matematica nr 8||ISSN 0016-5441|||1975|
I52|Gazeta matematica nr 1||ISSN 0016-5441|||1982|
I53|Gazeta matematica nr 10-11||ISSN 0016-5441|||1983|
I54|Gazeta matematica nr 6||ISSN 0016-5441|||1985|
I55|Gazeta matematica nr 5||ISSN 0016-5441|||1985|
I56|Gazeta matematica nr 4||ISSN 0016-5441|||1985|
I57|Gazeta matematica nr 3||ISSN 0016-5441|||1985|
I58|Gazeta matematica nr 9||ISSN 0016-5441|||1983|
I59|Gazeta matematica nr 7||ISSN 0016-5441|||1983|
I60|Gazeta matematica nr 5||ISSN 0016-5441|||1983|
I61|Gazeta matematica nr 6||ISSN 0016-5441|||1983|
I62|Gazeta matematica nr 5||ISSN 0016-5441|||1987|
I63|Gazeta matematica nr 7-8||ISSN 0016-5441|||1987|
I64|Gazeta matematica nr 9||ISSN 0016-5441|||1987|
I65|Gazeta matematica nr 4||ISSN 0016-5441|||1989|
I66|Gazeta matematica nr 3||ISSN 0016-5441|||1989|
I67|Gazeta matematica nr 5||ISSN 0016-5441|||1989|
I68|Gazeta matematica nr 10||ISSN 0016-5441|||1987|
I69|Gazeta matematica nr 1||ISSN 0016-5441|||1987|
I70|Gazeta matematica nr 6||ISSN 0016-5441|||1987|
I71|Gazeta matematica nr 1||ISSN 0016-5441|||1988|
I72|Gazeta matematica nr 8||ISSN 0016-5441|||1983|
I73|Gazeta matematica nr 3||ISSN 0016-5441|||1990|
I74|Gazeta matematica nr 2||ISSN 0016-5441|||1990|
I75|Gazeta matematica nr 1||ISSN 0016-5441|||1990|
I76|Gazeta matematica nr 4-5||ISSN 0016-5441|||1990|
I77|Gazeta matematica nr 1||ISSN 0016-5441|||1986|
I78|Gazeta matematica nr 6||ISSN 0016-5441|||1980|
I79|Gazeta matematica nr 3||ISSN 0016-5441|||1984|
I80|Gazeta matematica nr 5||ISSN 0016-5441|||1979|
I81|Gazeta matematica nr 7||ISSN 0016-5441|||1984|
I82|Gazeta matematica nr 2||ISSN 0016-5441|||1979|
I83|Gazeta matematica nr 4||ISSN 0016-5441|||1979|
I84|Gazeta matematica nr 7||ISSN 0016-5441|||1979|
I85|Gazeta matematica nr 8||ISSN 0016-5441|||1979|
I86|Gazeta matematica nr 9||ISSN 0016-5441|||1979|
I87|Gazeta matematica nr 1|Brezureanu Alexandru, Ene Horea, Mironescu Petru, Morianu Monica, Nicula M, Savu Ion, Sebestyen Julia, Teodorescu Ion, Teodorescu Nicolae|ISSN 0016-5433|||1989|
I88|Gazeta matematica nr 12||ISSN 0016-5441|||1981|
I89|Gazeta matematica nr 10||ISSN 0016-5441|||1984|
I90|Gazeta matematica nr 7||ISSN 0016-5441|||1980|
I91|Gazeta matematica nr 2|Baspai S., Bantas Gheorghe, Branzei  Dan, Branzei Rodica, Corduneanu Adrian, Cruceanu V., Gheondea Aurelian, Gheorghiu Dumitru, Pal Arpad, Popescu Lucia, Sebe Gabriel, Sebe Ileana|ISSN 0016-5433|||1988|
I92|Gazeta matematica nr 5||ISSN 0016-5441|||1981|
I93|Gazeta matematica nr 3||ISSN 0016-5441|||1981|
I94|Gazeta matematica nr 1||ISSN 0016-5441|||1988|
I95|Gazeta matematica nr 3||ISSN 0016-5441|||1988|
I96|Gazeta matematica nr 5-6||ISSN 0016-5441|||1988|
I97|Gazeta matematica nr 2||ISSN 0016-5441|||1988|
I98|Gazeta matematica nr 2||ISSN 0016-5441|||1989|
I99|Gazeta matematica nr 1||ISSN 0016-5441|||1989|
I100|Gazeta matematica nr 6||ISSN 0016-5441|||1989|
I101|Gazeta matematica nr 2||ISSN 0016-5441|||1987|
I102|Gazeta matematica nr 3||ISSN 0016-5441|||1987|
I103|Gazeta matematica nr 4||ISSN 0016-5441|||1987|
I104|Revista matematica a elevilor din Timisoara nr 1||||Timisoara|1983|
I105| Revista matematica a elevilor din Timisoara nr 2||||Timisoara|1982|
I106|Matematica elemente de analzia matematica manual pentru clasa 9|Gussi Gheorghe, Stanasila O., Stoica T.|| Editura Didactica si Pedagogica Bucuresti|Bucuresti |1980|
I107| Matematica elemente de analzia matematica manual pentru clasa 12|Boboc Nicu, Colojoara Ion|| Editura Didactica si Pedagogica Bucuresti|Bucuresti |1980|
I108|Matematica manual pentru clasa 9 algebra|Nasasescu C., Nita C., Rizescu Gheorghe|Editura Didactica si Pedagogica Bucuresti|1984||Bucuresti |
I109|Geometrie analitica manual clasa 11|Simionescu Gheorghe|| Editura Didactica si Pedagogica Bucuresti|Bucuresti |1980|
I110|Elemente de algebra superioara clasa 11|Radu Eugen|| Editura Didactica si Pedagogica Bucuresti|Bucuresti |1978|
I111|Probleme actuale de informatica si matematici aplicate||||Iasi|1984|editia 9
I112|Matematica elemente de algebra superioara clasa 9|Nastasescu C., Nita C., Stanescu I.|| Editura Didactica si Pedagogica Bucuresti|Bucuresti |1980|
I113|Matematica elemente de algebra superioara clasa 9|Nastasescu C., Nita C., Stanescu I.|| Editura Didactica si Pedagogica Bucuresti|Bucuresti |1984|
I114|Exercitii si probleme de algebra clasele 9-12|Nastasescu C., Nita C., Brandiburu M., Joita D.|| Editura Didactica si Pedagogica Bucuresti|Bucuresti |1983|
I115|Matematica geometrie si trigonometrie clasa 10|Corsa Augustin, Rado Marta, Hurthi Ekaterina, Raduti Mariana, Popa Elena Felicia, Vornicescu Florica|Editura Didactica si Pedagogica Bucuresti|1985||Bucuresti |
I116| Revista matematica a elevilor din Timisoara nr 1||||Timisoara|1982|
J1|Procese Markov si functii excesive|Cuculescu Ion||Editura Academiei Republicii Socialiste Romania|Bucuresti|1968|
J2|Aspecte ale elaborarii algoritmilor distribuiti|Barsan Corneliu, Fortis Florin, Domocos Virgil, Iurian Simona, Zaharia Marius||Editura Tempus||1996|
J3|Forth concept informatic si limbaj de programare|Belindeanu Radu, Matekovits Agota|ISBN 973-36-0077-6|Editura Facla|1991|Timisoara|
J4|Microsoft windows 3.1|Iurian Marius, Mihoc Cristian, Iurian Simona, Pop Dragos|ISBN 973-96114-0-0|Editura Promedia|1993|Cluj Napoca|
J5|Limbajul C programare|Roman Dan, Muntean Emil||ITCI Cluj Napoca|1988|Cluj Napoca|
J6|Introducere in arhitecturi paralele si neconventionale|Popa Mircea||Editura as Computer – press|1992| Timisoara|
J7|Olimpiadele internationale de matematica|Morozova E.A., Petrakov I.S., Skortov S.K.||Editura tehnica|1978|Bucuresti|
J8|Initiere in limbajul Ada|Munteanu E., Mihut I., Ivanov A.|| Editura tehnica|1986|Bucuresti|
J9|Introducere in limbajul C|Negrescu Liviu||AM Graphics Cluj||Cluj Napoca|
J10|Bazele informaticii 2|Moldovan Grigor|||1985|Cluj Napoca|
J11|Analiza sistemelor complexe|Boldur-Latescu  Gheorghe, Ciobanu Gheorghe, Bancila Ion||Editura Stiintifica si Enciclopedica|1982|Bucuresti|
J12|Cresterea preciziei solutiilor in scheme cu diferentiere|Marciuk G.I., Saidurov V.V.||Editura Academiei Republicii Socialiste Romania|Bucuresti|1981|
J13|Matematica elemente de teoria probabilitatilor si statistica matematica manual pentru clasa 12|Mihoc Gheorghe, Micu Nicolae||Edituda Didactica si Pedagogica|Bucuresti|1984|
J14|Introducere in limbajul C vol 2|Negrescu Liviu||AM Graphics Cluj|Cluj Napoca||
J15|Universitatea Babes-Bolyai||||Cluj Napoca|1979|
J16|On the Refinement calculus|Morgan Carroll, Robinson Ken, Gardiner Paul|ISBN 0-902928-52-|Oxford University Computing Laboratory|Oxford|1988|
J17|Limba engleza prin exercitii structurale modele verbale|Bantas Andrei, Galateanu  Georgiana, Sachelarie Doina|| Editura Stiintifica si Enciclopedica|Bucuresti| 1979|
J18|Programare in limbaje de asamblare Asiris|Munteanu E., Costea V., Mitrov M.||Editura Tehnica||Bucuresti|
J19|Ghid de utilizare turbo pascal 5.0-5.5|Makkai Andras, Crisan Cecilia, Kovacs Sandor||Editura Romanian Software Comp|Cluj Napoca|1991|
J20|Ghid de utilizare turbo C 2.0|Caprariu Vlad||Imprimeria Ardealul|Cluj Napoca|1991|
J21|Courant institute of mathematical science|||New  York University|||
J22|Al 13-lea simpozion informatica si conducere||||Cluj Napoca|1988|
J23| Al 9-lea simpozion informatica si conducere||||Cluj Napoca|1987|
J24| Al 13-lea simpozion informatica si conducere||||Cluj Napoca|1989|
J25| Zilele Academice Clujene Manifestare stiintifica dedicata confeintei nationale a patriotismului comunist roman||||Cluj Napoca|1987|
J26| Zilele Academice Clujene||||Cluj Napoca|1990|
J27|Al 12-lea simpozion de informatica si conducere||||Cluj Napoca|1988|
J28|Metode numerice in algebra liniara|Mihu Cerchez||Editura Tehnica|Bucuresti|1977|
J29|Sistemul de operare DOS, ghidul programatorului|Caprariu Vlad, Enyedi Andrei, Muntean Marius, Chiorean Marius|||Cluj Napoca|1991|
J30| Ghid de utilizare turbo pascal 5.0-5.5|Makkai Andras, Crisan Cecilia, Kovacs Sandor||Editura Romanian Software Comp|Cluj Napoca|1991|
J31| Matematica elemente de teoria probabilitatilor si statistica matematica manual pentru clasa 12|Mihoc Gheorghe, Micu Nicolae||Edituda Didactica si Pedagogica|Bucuresti|1984|
J32|Programarea in limbajul de asamablare LAF|Dobrescu Dan, Horobet-Stoian Leonard||Editura Albatros|Bucuresti|1981|
J33|Matematici serioase|Trandafir Rodica||Editura Facla|Bucuresti|1976|
J34|Lanturi Markov finite si aplicatii|Iosifescu Marius||Editura Tehnica|Bucuresti|1977|
J35|Analiza functionala|Kaspar Dumitru||Editura Facla|Timisoara|1981|
J36|Macroprocesoare si limbaje extensibile|Niculescu Stelian, Golesteanu Dan Petre||Editura Stiintifica si Enciclopedica|Bucuresti|1982|
J37|Algebra binara a lui Boole si aplicatiile ei in informatica|Raul de Palma||Editura Tehnica|Bucuresti|1976|
J38|Paradoxul|Marcus Solomon||Editura Albatros|Bucuresti|1984|
J39|Probleme celebre|Campan Florica|| Editura Albatros|Bucuresti|1987|
J40|Retructuring of the (re)training of school teachers in computer science||ISBN 973-97515-8-X|Editura Agora|Cluj Napoca|1999|
J41|Programarea in Ada|Kaufmann Iosif, Jurca Ioan, Petriu Dorina, Cretu Vladimir||Editura Facla|Timisoara|1982|
J42|Din peripetiile unui rezolvator de probleme|Mitroaica Gh.|| Editura Albatros|Bucuresti|1987|
J43|Socul matematicii| Solomon Marcus || Editura Albatros|Bucuresti|1987|
J44|Mai in gluma mai in serios|Oprisiu Nicolae||Editura Dacia|Cluj Napoca|1981|
J45|Maretia si limitele gandirii matematice|Becker O.||Editura Stiintifica|Bucuresti|1968|
J46|Algebra pentru perfectionarea profesorilor|Becheanu M., Nita C., Stefanescu Mirela, Dinca A., Purdea I., Ion Ion, Radu N., Vraciu C.||Editura Didactica si Pedagogica|Bucuresti|1983|
J47|Analiza numerica indrumator pentru lucrari de laborator|Boian Florian, Coman Gheorghe, Chisalita Florica|||Cluj Napoca|1982|
J48|Cartea jocurilor|Feteanu Gheorghe, Paun Gheorghe||Arta grafica|Bucuresti||
J49|Informatica medicala|Popescu Ovidiu||Editura medicala|Bucuresti|1988|
J50|Sisteme cu prelucrare distribuita si aplicatiile lor|Paulescu F., Golesteanu D.P.|ISBN 073-31-0472-8|Editura tehnica|Bucuresti|1993|
J51|Manualul incepatorului|Marinescu Dan, Trandafirescu Mihai|ISBN 973-601-088-0|Editura Teora|Bucuresti|1995|
J52| Sisteme cu prelucrare distribuita si aplicatiile lor|Paulescu F., Golesteanu D.P.|ISBN 073-31-0472-8|Editura tehnica|Bucuresti|1993|
J53|Stiinta si informatica|Mateescu D., Petrescu G., Tibuleac D., Vlad L.||Editura stiintifica si enciclopedica|Bucuresti|1987|

Cota|Titlul|Autori| ISBN|Editura|Locul aparitiei|An aparitie|Observatii
d1|Computational Mathematics|Danilina N.I.,Dubrovskaya N.S.,Kvasha O.P.,Smirnov G.L.|5-03-000275-8|Mir Publishers Moscow|Moscova|1988|       
d2|The world is build on probability|Tarasov Lev|5-03-001124-2|Mir Publishers Moscow|Moscova|1988|    
d3|Introduction in the theory of games|Szep J., Forgo F.|90-277-1404-5 MAEE 17|D.Riedel Publishing Company Dordrecht/Boston/Lancaster |Boston|1985|
d4|Modula -3|Harbison Samuel P.|0-13-596396-6|Prentice - Hall||1992|    
d5|Approximation Theory|Cheney E.W.||Chelsea Publishing Company N.Y.|New York|1982|
d5|Analysis Of Numerical Methods|Isaacson Eugene, Keller Herbert Bishop|0 471 42865 5|John Wiley & Sons||1966|    
d7|Managing UUCP and Usenet|O'Reilly Tim, Todino Grace|0-937175-93-5|O'Reilly and Associates||1992|    
d8|Using Samba|Eckstein Robert, Collier - Brown David, Kelly Peter|1-56592-449-5|O'Reilly  and Associates||2000|    
d9|Pthreads Programming|Nichols Bradford, Buttlar Dick, Proulx Farrell Jacqueline|1-56592-115-1|O'Reilly and Associates||1996|    
d1|0|Client/Server Programming with Java and Corba|Orfali Robert, Harkey Dan|0-471-24578-x|1998|John Wiley & Sons|
d11|Practical Unix & Internet Security|Garfinkel Simson, Spafford Gene|1-56592-148-8|O'Reilly and Associates||1996|    
d12|Java Threads|Oaks Scott, Wong Henry|1-56592-216-6|O'Reilly and Associates||1997|    
d13|Java Network Programming|Harold Elliotte Rusty|1-56592-227-1|O'Reilly and Associates||1997|    
d14|Java Tutorial|Campione Mary, Walrath Kathy|0-201-63454-6|Sun Microsystems||1996|    
d15|X Toolkit Intrinsics Programming Manual|Nye Adrian, O'Reilly Tim|0-937175-56-0|O'Reilly and Associates||1990|    
d16|X Toolkit Intrinsics Referance Manual|Flanagan David|1-56592-007-4|O'Reilly and Associates||1993|    
d17|Systems Management Server 2003 Administrator's Companion| Kaczmarek Steven D.|0-7356-1888-7|Microsoft Press||2004|    
d18|Microsoft Exchange Server 2003 Administrator's  Companion|Glenn Walter J., English Bill|0-7356-1979-4|Microsoft Press||2004|    
d19|Advanced Educational Technologies|Radoiu D., Enachescu C.|973-8084-60-1|Editura Universitatii "Petru Maior"||2002|   
d20|Knowledge Engeneering  Principles and Techniques|Frentiu Militon, Pop Horia F., Tatar Doina|978-973-610-556-2|Presa Universitara Clujana|Cluj Napoca|2007|
d21|Proceedings of the Symposium|Frentiu Militon||||2006|
d22|Advanced Educational Technologies|Enachescu C., Radoiu D.|973-8084-33-4|Editura Universitatii "Petru Maior"||2001|
d23|Calculatoare Paralele arhiectura, programare, algoritmi|Hockney R.W., Jesshope C.R.||Editura Tehnica Bucuresti|Bucuresti|1991|
d24|Tratat de programarea calculatoarelor|Knuth D. E.||Editura Tehnica Bucuresti|Bucuresti|1974|
d25|Tratat de programarea calculatoarelor|Knuth D. E.||Editura Tehnica Bucuresti|Bucuresti|1974|
d26|Tratat de programarea calculatoarelor|Knuth D. E.||Editura Tehnica Bucuresti|Bucuresti|1974|
b1|Calcul paralel|Dzitac Ioan|973-613-049-5|Editura Universitatii Oradea|Oradea|2001|       
b2|Didactica Informaticii de la teorie la practica|Magdas Ioana|978-973-555-527-6|Editura Clusium||2007|        
b3|De la aritmetic ala calculatoare|Boian Florian Mircea|973-97535-5-8|Presa Universitara Clujana|Cluj Napoca|1996|                      
b4|Component Software- Beyond object-oriented programming|Szypersky Clemens||Edison Wesley|||                      
b5|Inteligenta artificiala|Dumitrescu D.||Presa Universitara Clujana|Cluj Napoca|1995|                      
b6|Modele conexioniste in inteligenta artificiala|Dumitrescu D.||Presa Universitara Clujana|Cluj Napoca|1995|
b7|HTML Publicatii web|Radoi Dumitru|973-97706-0-6|Computer Press Agora||1996|
b8|Tehnici de explorare si analiza datelor medicale|Todor Nicolae|973-9357-05-9|Editura Mediamira Cluj-Napoca|Cluj Napoca|2002|                     
b9|XML|Philips Lee Anne|973-20-0604-8|Editura Teora|Bucuresti|2001|                      
b10|Euro-Par 2003 Parallel Processing|Kosch Harald, Boszormenyi Laszlo, Hellwagner Hermann|3-540-40788-x|Springer||1998|
b11|Calculatoare Personale Unix|Pilat Florin Vladimir, Stefanescu Irina, Deaconu Sorin|973-601-063-5|Editura Teora|Bucuresti|1994|                        
b12|Advance environments, Tools And Applications for cluster computing|Grigoras Dan, Nicolau Alex, Toursel Bernard, Folliot Bertil|3-540-43672-3|Springer||2001|    
a1|Elemente de teoria grafelor|Toadere Teodor||UBB|Cluj Napoca|1992|
a2|Piete financiare primare si secundare si operatiuni de bursa|Dragoescu Elena, Dragoescu Anton|973-96415-5-5|Editura MEsagerul|Cluj Napoca|1995|
a3|Probleme actuale in teoria limbajelor formale|Paun Gh.||Editura Stiintifica si Enciclopedica||1984|
a4|Combinatorica si teoria grafelor - partea II|Toadere Teodor, Kasa Zoltan||UBB|Cluj Napoca|1998|
a5|Introducere in microprocesoare|Toacse Gh.||Editura Stiintifica si Enciclopedica||1998|
a7|Prietenii matematicii|Giurgiu Ioachim|973-8141-37-0|Editura Altip|Alba Iulia|2001|
a8|Birotica editoare de texte|Robu J., Bossanyi R.||UBB|Cluj Napoca|1998|
a9|Navigand prin internet|Wyatt Allen||Editura Educational||1995| 
a10|Combinatorica si teoria grafelor - partea I|Toadere Teodor||UBB|Cluj Napoca|1998|
a11|Arhitectura calculatoarelor|Boian Florian||UBB|Cluj Napoca|1998|
a12|Metode evoluate de programare - Partea I|Cioban Vasile||UBB|Cluj Napoca|1998|
a13|Metode evoluate de programare - Partea II|Darvay Zsolt||UBB|Cluj Napoca|1998|
a14|Integrity problem in distributed databases|Moldovan Madalina||UBB|Cluj Napoca|2004|Ph. D. Thesis Resume
a15|Scientific Visualization|Radoiu Dumitru|973-686-645-9|Casa cartii de stiinta|Cluj Napoca|2004|
a16|Problema de matematica rezolvate cu mijloace artificiale de calcul|Gombos Iulian|973-97964-9-4|Editura Digital Data|Cluj Napoca|2000|
a17|Ghidul evaluatorului|Ministerul educatiei, cercetarii si tineretului|||Bucuresti|2004|
a18|Development methods for Intelligent Systems|Serban Gabriela||UBB|Cluj Napoca|2003|Ph. D. Thesis Resume
a19|Ghidul evaluatorului|Ministerul educatiei, cercetarii si tineretului|||Bucuresti|2002|
a20|Ghidul evaluatorului|Ministerul educatiei, cercetarii si tineretului|||Bucuresti|2003|
a21|Prietenii matematicii||973-555-351-1|Editura Clusium|Cluj Napoca|2002|
a23|Informatizarea invatamantului|Universitatea de Stat A. Russo, Balti|||Balti|1996|
a24|Metodica predarii informaticii|Ionescu Clara||UBB|Cluj Napoca|1998|
a25|Arhitectura calculatoarelor - partea I|Boian Florian||UBB|Cluj Napoca|1998|
a28|Paradigma multifateta - suport pentru dezvoltarea aplicatiilor senzitive la context|Rarau Anca||Universitatea Tehnica|Cluj Napoca|2006|Teza de doctorat - rezumat
a29|Probleme de teoria grafelor|Cataranciuc S., Toadere Teodor, Iacob E. M.||UBB|Cluj Napoca|1994|
